"","Layer","Age","Dicrostonyx","Microtus.nivalis","Microtus.oeconomus","Microtus.gregalis","Microtus.arvalis","Microtus.gregalis.or.arvalis","Arvicola","Clethrionomys"
"1",11,20000,13,2,3,14,6,8,5,0
"2",10,18000,53,0,9,50,8,9,3,0
"3",9,18000,27,2,5,41,4,13,6,0
"4",8,17000,35,3,7,42,17,20,7,1
"5",7,15000,15,7,15,36,23,23,12,4
"6",6,15000,4,2,4,24,19,8,1,1
"7",5,12000,0,0,1,1,38,0,4,1
"8",4,12000,0,0,1,3,37,0,1,0
"9",3,10000,0,1,1,0,74,0,4,4
"10",2,7000,0,0,0,0,100,0,0,7
"11",1,4000,0,0,8,0,46,0,0,54
